"Id","MAE Value","ETS Method"
"179","0.896415185244256","ETS(A,N,N)"
"180","0.853614339556366","ETS(A,A,N)"
"181","1.33179130790308","ETS(A,A,N)"
"182","0.911440742101742","ETS(A,Ad,N)"
"183","0.950175865117783","ETS(A,Ad,N)"
"184","0.920560453814008","ETS(A,Ad,N)"
"185","0.982717914702978","ETS(A,Ad,N)"
"186","0.887081794021915","ETS(A,Ad,N)"
"187","0.925275757523512","ETS(A,Ad,N)"
"188","0.900028130958476","ETS(A,Ad,N)"
"189","0.997586803845784","ETS(A,Ad,N)"
"190","1.0519871049782","ETS(A,Ad,N)"
"191","1.07283004168225","ETS(A,Ad,N)"
"192","0.823979559001699","ETS(A,N,N)"
"193","0.81203428751687","ETS(A,N,N)"
"194","0.803187931269203","ETS(A,N,A)"
"195","0.877233876594476","ETS(A,N,N)"
"196","0.966453193237926","ETS(A,A,N)"
"197","1.06658262084268","ETS(A,Ad,N)"
"198","0.889573737143474","ETS(A,Ad,N)"
"199","0.874665018365496","ETS(A,Ad,N)"
"200","1.01030751525533","ETS(A,Ad,N)"
"201","1.15568532540026","ETS(A,Ad,N)"
"202","0.886398117122977","ETS(A,Ad,N)"
"203","0.986827675387994","ETS(A,Ad,N)"
"204","1.06430025237008","ETS(A,Ad,N)"
"205","1.07807087557974","ETS(A,A,N)"
"206","0.91189251664761","ETS(A,A,N)"
"207","0.877916938135283","ETS(A,N,N)"
"208","0.924808302645084","ETS(A,N,N)"
"209","0.834405481675485","ETS(A,N,N)"
"210","0.856754729049842","ETS(A,N,N)"
"211","0.926064619128578","ETS(A,A,N)"
"212","0.818622007576133","ETS(A,N,N)"
"213","0.947616746572021","ETS(A,N,N)"
"214","0.839357788045557","ETS(A,N,N)"
"215","1.15900512627251","ETS(A,N,N)"
"216","1.16480074190673","ETS(A,N,N)"
"217","0.88447956174405","ETS(A,N,N)"
"218","0.83426686174564","ETS(A,Ad,N)"
"219","0.837933559337784","ETS(A,N,N)"
"220","0.85966156146195","ETS(A,A,N)"
"221","1.06936506696803","ETS(A,N,N)"
"222","0.876079019852415","ETS(A,N,N)"
"223","0.923588243632696","ETS(A,N,N)"
"224","0.884893367056401","ETS(A,N,N)"
"225","0.875867555590448","ETS(A,A,N)"
"226","0.854726820036125","ETS(A,N,N)"
"227","0.802465704142969","ETS(A,N,N)"
"228","0.853828578171876","ETS(A,N,N)"
"229","0.968121642422227","ETS(A,Ad,N)"
"230","0.872093978200288","ETS(A,N,N)"
"231","0.813432535376202","ETS(A,N,N)"
"232","0.908390011747556","ETS(A,N,N)"
"233","0.803346290302145","ETS(A,N,N)"
"234","0.94520491303443","ETS(A,A,N)"
"235","0.911168220139576","ETS(A,N,N)"
"236","0.855255818884729","ETS(A,N,N)"
"237","0.904451102431075","ETS(A,A,N)"
"238","0.752602632494437","ETS(A,N,N)"
"239","0.899996255801169","ETS(A,A,N)"
"240","0.822935019659171","ETS(A,N,N)"
"241","0.907846438419389","ETS(A,N,N)"
"242","0.791182566698377","ETS(A,N,N)"
"243","0.753350048611855","ETS(A,N,N)"
"244","0.976717567534945","ETS(A,N,N)"
"245","0.881201963455372","ETS(A,A,N)"
"246","1.02769978779428","ETS(A,A,N)"
"247","0.913941002706657","ETS(A,N,A)"
"248","0.90767361070169","ETS(A,N,N)"
"249","1.13527490890698","ETS(A,N,N)"
"250","0.979760718428033","ETS(A,N,N)"
"251","1.03840752134552","ETS(A,N,A)"
"252","1.38373076011074","ETS(A,A,N)"
"253","0.920514914911863","ETS(A,N,N)"
"254","0.804205596809925","ETS(A,N,N)"
"255","0.862508220263224","ETS(A,N,N)"
"256","0.987792900486733","ETS(A,N,N)"
"257","1.05967787548721","ETS(A,N,N)"
"258","1.03347345294791","ETS(A,N,N)"
"259","0.897606619902216","ETS(A,Ad,N)"
"260","0.83132339843059","ETS(A,N,N)"
"261","0.890509893022802","ETS(A,N,N)"
"262","0.857282829087827","ETS(A,N,N)"
"263","0.869221892387241","ETS(A,N,N)"
"264","0.923609320977185","ETS(A,N,N)"
"265","0.934153051788865","ETS(A,N,N)"
"266","1.18491585340457","ETS(A,A,N)"
"267","1.07406310477482","ETS(A,N,N)"
"268","0.843766408748417","ETS(A,N,N)"
"269","0.909036116372596","ETS(A,N,N)"
"270","0.870989571113511","ETS(A,N,A)"
"271","0.889159470193118","ETS(A,N,N)"
"272","0.861301304979501","ETS(A,N,N)"
"273","0.964247701582066","ETS(A,N,N)"
"274","0.890996912592793","ETS(A,N,N)"
"275","0.92845158333379","ETS(A,N,N)"
"276","0.944636905395264","ETS(A,N,N)"
"277","0.936947957366242","ETS(A,A,N)"
"278","0.816737654625247","ETS(A,N,A)"
"279","0.819190024894082","ETS(A,N,A)"
"280","0.630791995309543","ETS(A,N,N)"
"281","0.977987511526277","ETS(A,N,A)"
"282","0.819265210350719","ETS(A,N,A)"
"283","0.750696691882368","ETS(A,N,A)"
"284","0.876591776661074","ETS(A,N,A)"
"285","0.722780570727261","ETS(A,N,A)"
"286","0.801335245388397","ETS(A,N,A)"
"287","0.708890862755879","ETS(A,N,A)"
"288","0.628227599995928","ETS(A,A,N)"
"289","0.536694402670034","ETS(A,N,A)"
"290","0.868090680194157","ETS(A,N,A)"
"291","0.75034692949721","ETS(A,N,A)"
"292","0.579276263582264","ETS(A,Ad,N)"
"293","0.841830376156662","ETS(A,N,A)"
"294","0.53227660435583","ETS(A,N,A)"
"295","0.774482439245233","ETS(A,N,A)"
"296","0.778203647852028","ETS(A,N,A)"
"297","0.63110855667392","ETS(A,A,N)"
"298","0.666907026193468","ETS(A,A,A)"
"299","0.668436070361883","ETS(A,A,N)"
"300","0.624433099252903","ETS(A,N,N)"
"301","0.736847153862702","ETS(A,N,A)"
"302","0.699142415709432","ETS(A,N,N)"
"303","0.644225103070905","ETS(A,N,A)"
"304","0.857467322251152","ETS(A,N,A)"
"305","0.877357691623144","ETS(A,N,A)"
"306","0.752858865312118","ETS(A,A,N)"
"307","0.647224252536022","ETS(A,A,N)"
"308","0.861139469476958","ETS(A,N,A)"
"309","0.878785404391752","ETS(A,N,A)"
"310","1.07334553868797","ETS(A,N,A)"
"311","0.771725714157813","ETS(A,N,A)"
"312","0.709981078682173","ETS(A,N,A)"
"313","1.21313357985986","ETS(A,N,A)"
"314","0.789406080801764","ETS(A,N,A)"
"315","0.772535740190661","ETS(A,N,A)"
"316","0.913636648791894","ETS(A,A,A)"
"317","0.713120580160783","ETS(A,N,A)"
"318","0.896617274672694","ETS(A,N,A)"
"319","0.589738593582501","ETS(A,N,N)"
"320","0.741751908232666","ETS(A,A,A)"
"321","0.73880427429751","ETS(A,N,A)"
"322","0.567203494619267","ETS(A,N,N)"
"323","0.659123314024144","ETS(A,A,A)"
"324","0.943049163118818","ETS(A,N,A)"
"325","0.783162540569174","ETS(A,N,A)"
